,Date,Open,High,Low,Close,Volume,target,s_moving_average,varSMA,l_moving_average,varLMA,autocorrelation,varACR,CRTDR,varSTR,delta,rsi,varRSIbinary,varRSItertiary
3752,2000-06-19,146.47,149.16,146.25,148.47,5106700.0,1,147.25500000000002,1,144.36941176470592,1,-0.36387212077236258,-1,0.7628865979381448,1,2.0,56.244041944709188,1,0
3751,2000-06-20,148.19,148.88,147.0,147.94,6480000.0,1,147.76500000000001,1,144.31960784313725,1,-0.27251227277522377,-1,0.5,1,-0.25,57.885700269806172,1,0
3750,2000-06-21,146.94,148.44,146.89,147.84,3114900.0,1,147.80666666666667,1,144.24901960784314,1,-0.25081953480844116,-1,0.6129032258064582,1,0.9000000000000057,60.685142983165449,1,1
3749,2000-06-22,147.56,147.69,145.0,145.62,7490300.0,1,147.4366666666667,-1,144.14666666666668,1,-0.53564273050020395,-1,0.23048327137546656,1,-1.9399999999999977,61.590688651794345,1,1
3748,2000-06-23,145.81,146.12,143.88,144.38,4863300.0,-1,146.80666666666667,-1,144.02843137254902,1,-0.25362126820802072,-1,0.2232142857142848,1,-1.4300000000000068,59.876543209876502,1,0
3747,2000-06-26,145.38,146.25,144.88,146.23,5161600.0,-1,146.74666666666667,-1,144.02745098039216,1,0.4103386365209975,-1,0.9854014598540072,1,0.8499999999999943,61.256544502617757,1,1
3746,2000-06-27,145.98,146.72,145.02,145.16,4159500.0,-1,146.19499999999999,-1,144.04529411764707,1,0.51634190605735542,1,0.08235294117646312,1,-0.8199999999999932,61.236506378802723,1,1
3745,2000-06-28,145.62,146.98,145.31,145.56,5347700.0,-1,145.79833333333332,-1,144.24137254901962,1,0.94020678862559048,1,0.14970059880239633,-1,-0.060000000000002274,60.313228923692073,1,1
3744,2000-06-29,144.75,145.75,143.52,144.12,6345400.0,-1,145.17833333333334,-1,144.31725490196078,-1,0.94066967013325375,1,0.26905829596412423,1,-0.6299999999999955,59.247135842880496,1,0
3743,2000-06-30,143.94,145.59,143.89,145.5,7419600.0,-1,145.15833333333333,1,144.33745098039216,1,0.47238707100477334,-1,0.9470588235294103,1,1.5600000000000023,59.086427867236253,1,0
3742,2000-07-03,145.44,147.44,145.19,147.28,1436600.0,-1,145.64166666666665,1,144.41901960784313,1,0.048779965333104552,-1,0.9288888888888904,1,1.8400000000000034,60.792780344574439,1,1
3741,2000-07-05,146.38,146.66,144.38,144.62,2740200.0,-1,145.37333333333333,-1,144.43490196078429,1,0.27342476979038893,-1,0.10526315789474078,1,-1.759999999999991,57.96928397908345,1,0
3740,2000-07-06,144.94,146.47,144.22,145.75,5963200.0,1,145.47166666666666,1,144.5035294117647,1,0.42945389969790787,-1,0.6800000000000005,1,0.8100000000000023,55.172413793103452,1,0
